Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.201.159.99,2020-01-31,727902,2358,474,237,241,255,225,926
62.204.64.101,2020-01-31,727902,72863,3228,4915,10840,14071,13070,26739
62.209.175.66,2020-01-31,727902,1810,83,175,223,237,210,882
62.209.175.70,2020-01-29,727902,1929,104,152,253,253,224,943
62.211.69.150,2020-01-31,727902,16381,453,1150,3288,2441,2208,6841
62.212.64.121,2020-01-31,727902,1733,91,139,214,227,216,846
62.212.64.122,2020-01-31,727902,2197,197,191,310,271,273,955
62.212.65.123,2020-01-30,727902,2247,190,193,334,294,252,984
62.213.0.12,2020-01-31,727902,1966,195,151,235,249,221,915
62.215.6.4,2020-01-31,727902,1956,142,141,243,231,224,975
62.215.6.5,2020-01-31,727902,1909,141,135,206,255,231,941
62.215.6.51,2020-01-31,727902,2015,150,145,233,231,232,1024
62.215.6.52,2020-01-29,727902,1824,138,139,208,234,244,861
62.216.31.55,2020-01-29,727902,1797,98,127,230,243,204,895
62.217.132.65,2020-01-31,727902,1996,105,181,249,219,230,1012
62.219.186.194,2020-01-30,727902,1817,76,110,225,233,239,934
62.220.18.8,2020-01-31,727902,24561,747,1072,3289,3210,2957,13286
62.231.32.10,2020-01-30,727902,1856,131,134,249,223,216,903
62.231.32.11,2020-01-30,727902,1940,123,136,228,246,243,964
62.231.76.49,2020-01-31,727902,78827,1572,2848,2629,3331,6480,61967
62.231.96.2,2020-01-31,727902,3286,149,416,436,379,333,1573
62.233.128.17,2020-01-31,727902,156393,5336,3987,8021,16381,44629,78039
62.236.57.120,2020-01-31,727902,8154,900,946,1281,956,970,3101
62.240.32.5,2020-01-31,727902,5664,526,526,598,557,595,2862
62.240.110.92,2020-01-29,727902,1904,115,124,225,215,252,973
62.240.110.197,2020-01-31,727902,1931,237,146,228,204,204,912
62.240.110.218,2020-01-30,727902,2793,170,207,298,289,314,1515
62.241.162.35,2020-01-30,727902,1825,79,135,258,250,212,891
62.241.163.200,2020-01-29,727902,1958,195,139,243,268,232,881
62.241.163.201,2020-01-30,727902,2739,338,277,452,421,277,974
62.243.190.7,2020-01-30,727902,87252,2476,4494,7325,13535,20269,39153
62.243.190.8,2020-01-31,727902,87700,2509,4495,7373,13530,20366,39427
62.244.176.176,2020-01-31,727902,1881,101,160,234,216,246,924
62.244.177.177,2020-01-31,727902,1779,92,142,223,226,201,895
62.248.102.190,2020-01-30,727902,2138,223,225,235,249,226,980
62.251.0.6,2020-01-29,727902,1800,90,150,206,227,251,876
62.251.0.7,2020-01-29,727902,1827,97,135,224,231,239,901
63.64.9.11,2020-01-29,727902,1760,106,139,234,219,211,851
63.64.9.12,2020-01-28,727902,1669,84,116,244,218,215,792
63.64.9.19,2020-01-30,727902,1816,125,126,217,232,249,867
63.66.160.10,2020-01-30,727902,1834,105,152,230,228,239,880
63.81.21.2,2020-01-31,727902,1725,79,133,226,194,194,899
63.81.21.6,2020-01-31,727902,1694,64,118,215,217,224,856
63.90.67.10,2020-01-30,727902,1891,141,127,252,247,209,915
63.91.110.178,2020-01-27,727902,34926,310,560,2761,5636,5501,20158
63.139.151.119,2020-01-28,727902,56881,1165,2696,6508,9375,8202,28935
63.146.122.11,2020-01-31,727902,202006,4065,9460,22589,26407,23104,116381
63.148.166.213,2020-01-31,727902,11864,205,894,3114,1549,1149,4953
63.161.65.1,2020-01-31,727902,3862,114,144,324,433,493,2354
63.166.158.194,2020-01-31,727902,1744,84,146,223,210,207,874
63.171.232.38,2020-01-31,727902,56152,443,755,2060,3015,4434,45445
63.171.232.39,2020-01-31,727902,56597,450,734,2113,3163,4501,45636
63.214.241.10,2020-01-31,727902,15290,161,296,1050,2334,3848,7601
63.218.44.186,2020-01-30,727902,208806,8522,11148,26463,32677,27291,102705
63.238.52.1,2020-01-30,727902,86210,464,2718,8551,7379,9098,58000
63.238.52.2,2020-01-31,727902,86950,483,2669,8587,7556,9285,58370
63.240.1.42,2020-01-29,727902,20413,543,1436,2883,2503,2646,10402
63.240.1.43,2020-01-30,727902,13666,460,1179,2488,1880,1913,5746
63.240.1.44,2020-01-31,727902,20090,603,1465,2895,2442,2680,10005
63.240.76.4,2020-01-30,727902,1807,99,128,217,207,236,920
